intron_id,sa.eff
Os01g0108000.intron1,10463
Os01g0108000.intron2,4971
Os01g0108000.intron3,16614
Os01g0108000.intron4,5522
Os01g0108000.intron5,4720
Os01g0108000.intron6,9735
Os01g0108000.intron7,35952
Os01g0108000.intron8,14751
Os01g0108000.intron9,23596
Os01g0108000.intron10,14942
Os01g0108000.intron11,57809
Os01g0108000.intron12,2392
Os01g0108000.intron13,6429
Os01g0108000.intron14,13504
Os01g0108000.intron15,118627
Os01g0108000.intron16,30791
Os01g0108000.intron17,6831
Os01g0108000.intron18,54106
Os01g0108000.intron19,72366
Os01g0108000.intron20,44913
Os01g0108200.intron1,1287
Os01g0108200.intron2,67318
Os01g0108200.intron3,10835
Os01g0108200.intron4,2368
Os01g0108200.intron5,197522
Os01g0108200.intron6,2422
Os01g0108200.intron7,10812
Os01g0108200.intron8,2308
Os01g0108200.intron9,60437
Os01g0108200.intron10,98571
Os01g0108200.intron11,2493
Os01g0108400.intron1,0
Os01g0108400.intron2,0
Os01g0108600.intron1,21801
Os01g0108600.intron2,0
Os01g0108600.intron3,21801
Os01g0108800.intron1,0
Os01g0108800.intron2,0
Os01g0109000.intron1,850
Os01g0109201.intron1,6353
Os01g0109201.intron2,0
Os01g0109201.intron3,1407
Os01g0109201.intron4,0
Os01g0109201.intron5,0
Os01g0109201.intron6,0
Os01g0109201.intron7,0
Os01g0109201.intron8,0
Os01g0109201.intron9,0
Os01g0109201.intron10,0
Os01g0109201.intron11,0
Os01g0109201.intron12,0
Os01g0109201.intron13,0
Os01g0109201.intron14,1898
Os01g0109201.intron15,567
Os01g0109201.intron16,124
Os01g0109201.intron17,264
Os01g0109201.intron18,0
Os01g0109300.intron1,18319
Os01g0109300.intron2,907
Os01g0109300.intron3,15760
Os01g0109300.intron4,343
Os01g0109300.intron5,1235
Os01g0109300.intron6,3617
Os01g0109300.intron7,786
Os01g0109300.intron8,0
Os01g0109300.intron9,137
Os01g0109300.intron10,5598
Os01g0109300.intron11,1892
Os01g0109300.intron12,734
Os01g0109300.intron13,49
Os01g0109300.intron14,1598
Os01g0109300.intron15,392
Os01g0109300.intron16,0
Os01g0109300.intron17,0
Os01g0109300.intron18,1130
Os01g0109500.intron1,281
Os01g0109700.intron1,17554
Os01g0109700.intron2,3281
Os01g0109700.intron3,6851
Os01g0109700.intron4,30340
Os01g0109700.intron5,17750
Os01g0109700.intron6,13858
Os01g0109700.intron7,18530
Os01g0109700.intron8,34524
Os01g0109700.intron9,7341
Os01g0109700.intron10,8745
Os01g0109700.intron11,15480
Os01g0109700.intron12,207252
Os01g0109700.intron13,17002
Os01g0109700.intron14,30754
Os01g0109700.intron15,36820
Os01g0109700.intron16,23830
Os01g0109700.intron17,60228
Os01g0109700.intron18,119666
Os01g0109700.intron19,11806
Os01g0109700.intron20,18657
Os01g0109700.intron21,8780
Os01g0109750.intron1,3329
Os01g0109750.intron2,62621
Os01g0109750.intron3,80951
Os01g0110050.intron1,0
Os01g0110050.intron2,0
Os01g0110100.intron1,0
Os01g0110100.intron2,0
Os01g0110100.intron3,0
Os01g0110100.intron4,0
Os01g0110100.intron5,0
Os01g0110100.intron6,0
Os01g0110100.intron7,0
Os01g0110100.intron8,0
Os01g0110100.intron9,0
Os01g0110100.intron10,0
Os01g0110100.intron11,0
Os01g0110200.intron1,0
Os01g0110400.intron1,1731
Os01g0110400.intron2,10697
Os01g0110400.intron3,5300
Os01g0110400.intron4,4874
Os01g0110400.intron5,9911
Os01g0110400.intron6,23750
Os01g0110400.intron7,42074
Os01g0110400.intron8,43345
Os01g0110400.intron9,10006
Os01g0110400.intron10,5177
Os01g0110400.intron11,17700
Os01g0110400.intron12,9747
Os01g0110500.intron1,2074
Os01g0110500.intron2,13464
Os01g0110500.intron3,163
Os01g0110500.intron4,1395
Os01g0110500.intron5,7130
Os01g0110500.intron6,2984
Os01g0110500.intron7,429
Os01g0110600.intron1,576
Os01g0110600.intron2,6402
Os01g0110600.intron3,596
Os01g0110600.intron4,1030
Os01g0110600.intron5,523
Os01g0110600.intron6,81
Os01g0110600.intron7,0
Os01g0110700.intron1,0
Os01g0110700.intron2,0
Os01g0110700.intron3,0
Os01g0110700.intron4,0
Os01g0110700.intron5,0
Os01g0110700.intron6,0
Os01g0110700.intron7,0
Os01g0110700.intron8,884
Os01g0110700.intron9,0
Os01g0110700.intron10,1200
Os01g0110700.intron11,0
Os01g0110700.intron12,0
Os01g0110700.intron13,0
Os01g0110700.intron14,0
Os01g0110700.intron15,0
Os01g0110700.intron16,0
Os01g0110700.intron17,0
Os01g0110700.intron18,0
Os01g0110700.intron19,0
Os01g0110700.intron20,0
Os01g0110700.intron21,0
Os01g0110700.intron22,0
Os01g0110700.intron23,0
Os01g0110700.intron24,0
Os01g0110700.intron25,0
Os01g0110700.intron26,0
Os01g0110700.intron27,884
Os01g0110700.intron28,0
Os01g0110700.intron29,1200
Os01g0110700.intron30,0
Os01g0110800.intron1,0
Os01g0110800.intron2,900
Os01g0111000.intron1,0
Os01g0111100.intron1,0
Os01g0111200.intron1,49293
Os01g0111200.intron2,65633
Os01g0111200.intron3,6485
Os01g0111200.intron4,109658
Os01g0111200.intron5,96642
Os01g0111200.intron6,10326
Os01g0111200.intron7,2477
Os01g0111400.intron1,6079
Os01g0111400.intron2,5992
Os01g0111400.intron3,2887
Os01g0111400.intron4,6757
Os01g0111400.intron5,5992
Os01g0111500.intron1,0
Os01g0111500.intron2,0
Os01g0111500.intron3,0
Os01g0111500.intron4,0
Os01g0111600.intron1,0
Os01g0111600.intron2,0
Os01g0111600.intron3,0
Os01g0112300.intron1,2583
Os01g0112300.intron2,2109
Os01g0112300.intron3,6217
Os01g0112300.intron4,4277
Os01g0112300.intron5,2581
Os01g0112300.intron6,1701
Os01g0112300.intron7,4132
Os01g0112300.intron8,5067
Os01g0112300.intron9,4475
Os01g0112300.intron10,21265
Os01g0112400.intron1,0
Os01g0112500.intron1,737337
Os01g0112800.intron1,0
Os01g0113000.intron1,0
Os01g0113000.intron2,3429
Os01g0113000.intron3,150
Os01g0113000.intron4,972
Os01g0113000.intron5,0
Os01g0113000.intron6,0
Os01g0113000.intron7,282
Os01g0113000.intron8,0
Os01g0113000.intron9,0
Os01g0113000.intron10,0
Os01g0113000.intron11,0
Os01g0113000.intron12,0
Os01g0113000.intron13,0
Os01g0113000.intron14,0
Os01g0113000.intron15,0
Os01g0113000.intron16,0
Os01g0113150.intron1,0
Os01g0113200.intron1,22112
Os01g0113200.intron2,10645
Os01g0113200.intron3,75704
Os01g0113300.intron1,35176
Os01g0113300.intron2,17476
Os01g0113325.intron1,0
Os01g0113400.intron1,978
Os01g0113400.intron2,1161
Os01g0113400.intron3,75592
Os01g0113400.intron4,823
Os01g0113400.intron5,116
Os01g0113450.intron1,110
Os01g0113500.intron1,900
Os01g0113500.intron2,0
Os01g0113600.intron1,53424
Os01g0113600.intron2,29088
Os01g0113600.intron3,29088
Os01g0113700.intron1,7337
Os01g0113700.intron2,3707
Os01g0113800.intron1,86065
Os01g0113800.intron2,25235
Os01g0113900.intron1,0
Os01g0113900.intron2,0
Os01g0113950.intron1,0
Os01g0113950.intron2,0
Os01g0114100.intron1,43110
Os01g0114100.intron2,36347
Os01g0114200.intron1,7668
Os01g0114200.intron2,130
Os01g0114300.intron1,973
Os01g0114402.intron1,0
Os01g0114600.intron1,0
Os01g0114600.intron2,0
Os01g0114700.intron1,0
Os01g0114700.intron2,0
Os01g0114800.intron1,0
Os01g0114800.intron2,0
Os01g0114800.intron3,0
Os01g0114800.intron4,0
Os01g0115100.intron1,2050
Os01g0115100.intron2,5768
Os01g0115100.intron3,486
Os01g0115100.intron4,1624
Os01g0115200.intron1,0
Os01g0115300.intron1,4083
Os01g0115600.intron1,0
Os01g0115600.intron2,0
Os01g0115700.intron1,0
Os01g0115725.intron1,0
Os01g0115750.intron1,0
Os01g0115800.intron1,0
Os01g0115800.intron2,0
Os01g0115900.intron1,118
Os01g0115900.intron2,0
Os01g0115950.intron1,0
Os01g0116000.intron1,0
